exchange,exchange_token,trading_symbol,groww_symbol,company_name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,13656,ALICON,NSE-ALICON,Alicon Castalloy,EQ,CASH,EQ,INE062D01024,,,,,1,0.05,,,1,1,ALICON-EQ,1
NSE,24445,AGIIL,NSE-AGIIL,AGI Infra,EQ,CASH,EQ,INE976R01033,,,,,1,0.05,,,1,1,AGIIL-EQ,1
NSE,1270,AMBUJACEM,NSE-AMBUJACEM,Ambuja Cement,EQ,CASH,EQ,INE079A01024,,,,,1,0.05,,,1,1,AMBUJACEM-EQ,1
NSE,9810,AETHER,NSE-AETHER,Aether Inds,EQ,CASH,EQ,INE0BWX01014,,,,,1,0.1,,,1,1,AETHER-EQ,1
NSE,760740,AMAGI,NSE-AMAGI,Amagi Media Labs,EQ,CASH,EQ,INE121R01077,,,,,1,0.05,,,1,1,AMAGI-EQ,1
NSE,761270,ALGOQUANT,NSE-ALGOQUANT,Algoquant Fintec,EQ,CASH,EQ,INE598D01035,,,,,1,0.01,,,1,1,ALGOQUANT-EQ,1
NSE,17833,AHLUCONT,NSE-AHLUCONT,Ahluwalia Contracts,EQ,CASH,EQ,INE758C01029,,,,,1,0.05,,,1,1,AHLUCONT-EQ,1
NSE,17547,AMRUTANJAN,NSE-AMRUTANJAN,Amrutanjan Health,EQ,CASH,EQ,INE098F01031,,,,,1,0.05,,,1,1,AMRUTANJAN-EQ,1
NSE,3403,AJOONI,NSE-AJOONI,Ajooni Biotech,EQ,CASH,EQ,INE820Y01021,,,,,1,0.01,,,1,1,AJOONI-EQ,0
NSE,11072,AGRITECH,NSE-AGRITECH,Agri-Tech India,EQ,CASH,EQ,INE449G01018,,,,,1,0.01,,,1,1,AGRITECH-EQ,0
NSE,13501,ALLCARGO,NSE-ALLCARGO,Allcargo Logistics,EQ,CASH,EQ,INE418H01029,,,,,1,0.01,,,1,1,ALLCARGO-EQ,1
NSE,2598,AMJLAND,NSE-AMJLAND,AMJ Land Holdings,EQ,CASH,EQ,INE606A01024,,,,,1,0.01,,,1,1,AMJLAND-EQ,0
NSE,7145,ANANDRATHI,NSE-ANANDRATHI,Anand Rathi Weal,EQ,CASH,EQ,INE463V01026,,,,,1,0.1,,,1,1,ANANDRATHI-EQ,1
