SERIAL.NO.,STOCK NAME,SYMBOL,FIXED SYMBOL,PERCENT CHANGE,CMP,VOLUME,52W HIGH ,NEAR 52W HIGH ,52W HIGH DATE ,DATE DIFF,CHART ,200 DMA ,230 SMA(Nearly 200 EMA),SETUP 1,SETUP 2,SETUP 3, Work On Progress.... 1, Work On Progress.... 2
34,Jk Cement Limited,JKCEMENT,NSE:JKCEMENT,0.55,6406,4278,7565.5,,2025-08-20,48,,5545.58275,5381.990652,,,Blast Setup,,
124,Greenpanel Industries Ltd,GREENPANEL,NSE:GREENPANEL,-0.4,302.45,14941,427,,2024-10-17,355,,285.32425,295.1913043,HOT Demand Zone,Demand Zone,Blast Setup,Double Bottom Found!,
8,Welspun Investments And Commercials Limited,WELINV,NSE:WELINV,0,1025,0,1325.9,,2025-07-02,97,,919.107,919.8545652,,,#N/A,#N/A,#N/A
541,Nitin Spinners Limited,NITINSPIN,NSE:NITINSPIN,-0.63,317.8,48,494.35,,2024-12-18,293,,371.3615,377.4304348,,,,,
442,Wanbury Limited,WANBURY,NSE:WANBURY,-0.18,256.6,76,329.7,,2025-05-16,144,,256.9103,256.3699565,HOT Demand Zone,Demand Zone,Blast Setup,,
147,Aster DM Healthcare Ltd,ASTERDM,NSE:ASTERDM,0.36,675,116072,676.55,,2025-10-06,1,,538.04875,527.6878261,,,Blast Setup,Double Bottom Found!,
477,Softtech Engineers Ltd,SOFTTECH,NSE:SOFTTECH,1.9,371.85,0,612.05,,2024-12-12,299,,384.2675,387.9006522,HOT Demand Zone,Demand Zone,,,
272,Eris Lifesciences,ERIS,NSE:ERIS,0.53,1607.2,940,1910,,2025-06-12,117,,1511.01425,1496.195,HOT Demand Zone,Demand Zone,Blast Setup,,
558,Lg Balakrishnan & Bros Limited,LGBBROSLTD,NSE:LGBBROSLTD,0.52,1401.7,541,1465,Alert Signal,2025-09-23,14,,1274.14625,1276.764348,,,,,
402,Cigniti Technologies Limited,CIGNITITEC,NSE:CIGNITITEC,0.05,1584.3,996,1970,,2024-12-17,294,,1565.4605,1566.400435,HOT Demand Zone,Demand Zone,Blast Setup,,
647,Platinum Industries Ltd,PLATIND,NSE:PLATIND,0.25,283.5,408,502.05,,2024-12-16,295,,296.64475,315.0228261,,Demand Zone,,,
445,Windsor Machines Limited,WINDMACHIN,NSE:WINDMACHIN,0.75,294,218,440.8,,2024-12-13,298,,329.994,326.0343043,,,,,
617,Sree Rayalaseema Hi-strength Hypo Limited,SRHHYPOLTD,NSE:SRHHYPOLTD,1.22,580.8,125,942,,2024-10-11,361,,611.1905,624.8654348,,Demand Zone,,,
556,S H Kelkar And Company Limited,SHK,NSE:SHK,0,237.77,15655,336.25,,2024-10-16,356,,222.2904,230.4307826,HOT Demand Zone,Demand Zone,Blast Setup,,
238,Krsnaa Diagnostics Ltd,KRSNAA,NSE:KRSNAA,-0.62,786.7,1169,1044,,2024-11-26,315,,784.7265,807.0319565,HOT Demand Zone,Demand Zone,Blast Setup,,
119,Action Construction Equipment Limited,ACE,NSE:ACE,17.86,1093,7225,1600,,2025-01-01,279,,1.04165,1.031086957,,,Blast Setup,,
106,Eveready Industries India Limited,EVEREADY,NSE:EVEREADY,0.32,369.65,841,475.2,,2025-09-05,32,,355.63325,359.5923913,HOT Demand Zone,Demand Zone,,,
405,Hcl Technologies Limited,HCLTECH,NSE:HCLTECH,0.59,1422,2468,2012.2,,2025-01-13,267,,1620.97375,1653.296087,,,Blast Setup,,
72,Kalyani Steels Limited,KSL,NSE:KSL,0.41,780.2,1099,1277,,2024-12-17,294,,1.1962,1.176608696,,,,,
271,PTC Industries Ltd,PTCIL,NSE:PTCIL,0.16,16650,1508,17995,Alert Signal,2025-01-10,270,,14103.72775,13797.99043,,,,,
214,United Breweries Limited,UBL,NSE:UBL,-0.05,1789.5,1138,2299.7,,2025-02-03,246,,1985.06075,1977.322174,,,,Possible Double Bottom Retest!,
100,Ultratech Cement Limited,ULTRACEMCO,NSE:ULTRACEMCO,0.51,12122,358,13097,Alert Signal,2025-09-04,33,,11712.094,11659.59717,HOT Demand Zone,Demand Zone,Blast Setup,,
38,Mrs Bectors Food Specialities Ltd,BECTORFOOD,NSE:BECTORFOOD,0.4,1260.5,4613,1976.7,,2024-12-05,306,,1460.474,1502.015435,,,Blast Setup,,
362,Tech Mahindra Limited,TECHM,NSE:TECHM,0.05,1440,720,1807.7,,2024-12-12,299,,1559.7665,1579.938261,,,Blast Setup,,
44,Macrotech Developers Ltd,LODHA,NSE:LODHA,0.63,1117.4,173714,1531,,2025-06-09,120,,1276.466,1276.177174,,,,,
2,KRN Heat Exchanger and Refrigeration Ltd,NSE:KRN,NSE:KRN,2.75,853,89447,1012,,2025-02-06,243,,827.99725,811.9126087,HOT Demand Zone,Demand Zone,,,
25,Icici Bank Limited,ICICIBANK,NSE:ICICIBANK,0.01,1363.6,259666,1500,Alert Signal,2025-07-25,74,,1363.3645,1354.411304,HOT Demand Zone,Demand Zone,,,
187,Mankind Pharma Ltd,MANKIND,NSE:MANKIND,0.27,2463.1,555,3054.8,,2024-12-23,288,,2502.06275,2517.542826,HOT Demand Zone,Demand Zone,Blast Setup,,
457,Emkay Global Financial Services Limited,EMKAY,NSE:EMKAY,-0.72,304,2,409.9,,2025-09-24,13,,240.79395,251.0401739,,,,,
149,Bosch Limited,BOSCHLTD,NSE:BOSCHLTD,0.18,38800,663,41945,Alert Signal,2025-09-10,27,,32964.549,33246.01913,,,Blast Setup,,
548,Beml Limited,BEML,NSE:BEML,0.03,4412,11230,4874.8,Alert Signal,2025-06-23,106,,3724.63175,3775.664783,,,,,
87,V-guard Industries Limited,VGUARD,NSE:VGUARD,-0.41,364,17430,454.55,,2024-11-04,337,,373.71225,380.5265217,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
115,Narayana Hrudayalaya Ltd.,NH,NSE:NH,0.05,1790.3,931,2370.2,,2025-06-27,102,,1677.2035,1624.063478,,Demand Zone,Blast Setup,Possible Double Bottom Retest!,🔥 Volume Breakout!
667,Aditya Birla Sun Life AMC Ltd,ABSLAMC,NSE:ABSLAMC,0.17,821,182,911.85,Alert Signal,2024-12-02,309,,749.99175,760.1680435,,,,,
581,Welspun Corp Limited,WELCORP,NSE:WELCORP,2.19,852,42344,994,,2025-06-10,119,,833.574,823.2380435,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
640,Creative Newtech Ltd,CREATIVE,NSE:CREATIVE,0.59,653,0,1075,,2024-12-12,299,,737.45375,763.6363043,,,,,
202,Artemis Medicare Services Ltd,ARTEMISMED,NSE:ARTEMISMED,0.74,244,432,350,,2024-12-19,292,,263.60085,269.349,,,Blast Setup,,
385,Harsha Engineers International Ltd,HARSHA,NSE:HARSHA,0.53,388.5,365,560,,2024-12-06,305,,409.0825,421.6826087,,Demand Zone,,,
638,Hindustan Composites Limited,HINDCOMPOS,NSE:HINDCOMPOS,0.88,457,46,647.95,,2024-12-11,300,,471.1825,472.5552174,HOT Demand Zone,Demand Zone,,,
86,Religare Enterprises Limited,RELIGARE,NSE:RELIGARE,0.62,250.55,19934,320,,2024-12-17,294,,245.5392,247.2206522,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
103,Kei Industries Limited,KEI,NSE:KEI,-3.94,4161,192,4725,,2024-10-15,357,,9.28935,8.825130435,,,Blast Setup,Possible Double Bottom Retest!,
661,Swan Energy Limited,SWANENERGY,NSE:SWANENERGY,No Data,#N/A,#N/A,#N/A,#N/A,No Data,#VALUE!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
69,Vadilal Industries Limited,VADILALIND,NSE:VADILALIND,0.18,5477,22,7398.5,,2025-05-14,146,,5043.2005,4884.338261,,,,,
142,J.kumar Infraprojects Limited,JKIL,NSE:JKIL,-0.11,641,581,819,,2024-12-04,307,,694.70475,701.5421739,,,,Possible Double Bottom Retest!,
533,Ramco Industries Limited,RAMCOIND,NSE:RAMCOIND,-0.79,351.85,128,398.05,,2025-09-22,15,,272.1006,273.8485217,,,Blast Setup,,
516,Aadhar Housing Finance Ltd,AADHARHFC,NSE:AADHARHFC,-0.19,515.5,13580,547.8,Alert Signal,2025-09-24,13,,452.49275,449.9097826,,,Blast Setup,Possible Double Bottom Retest!,
222,Voltas Limited,VOLTAS,NSE:VOLTAS,-0.4,1360,13324,1902,,2024-10-16,356,,1384.4005,1426.538696,HOT Demand Zone,Demand Zone,Blast Setup,,
418,Kalyani Forge Limited,KALYANIFRG,NSE:KALYANIFRG,-0.78,665.4,2,890,,2025-05-20,140,,668.833,654.5793478,HOT Demand Zone,Demand Zone,,,
184,Hindustan Petroleum Corporation Limited,HINDPETRO,NSE:HINDPETRO,-0.33,456.8,156732,459.15,,2025-10-06,1,,387.633,387.1108696,,,Blast Setup,,
361,Go Digit General Insurance Ltd,GODIGIT,NSE:GODIGIT,-0.47,348.45,442,395.85,,2024-10-09,363,,324.86475,326.3126087,HOT Demand Zone,Demand Zone,Blast Setup,,🔥 Volume Breakout!
444,Global Vectra Helicorp Limited,GLOBALVECT,NSE:GLOBALVECT,-0.04,207,1047,340,,2024-12-12,299,,242.2618,246.6417826,,,Blast Setup,,
589,Jindal Saw Limited,JINDALSAW,NSE:JINDALSAW,0.6,204.72,150293,383.85,,2024-10-09,363,,237.71465,247.5746957,,,,Possible Double Bottom Retest!,
59,Indo Thai Securities Limited,INDOTHAI,NSE:INDOTHAI,-2.47,305.9,138888,317.9,Alert Signal,2025-10-06,1,,185.8262,175.8916522,,,,,🔥 Volume Breakout!
333,Nesco Limited,NESCO,NSE:NESCO,0.66,1395.6,3459,1638.9,,2025-09-11,26,,1093.53375,1083.938913,,,Blast Setup,,
63,Orient Cement Limited,ORIENTCEM,NSE:ORIENTCEM,-0.12,223.49,1131,379,,2024-10-22,350,,300.44395,305.4558261,,,,Possible Double Bottom Retest!,
120,Dhunseri Tea & Industries Limited,NSE:DTIL,NSE:DTIL,-0.65,186.06,0,314,,2024-12-16,295,,202.3591,210.6394348,,,Blast Setup,,
162,Doms Industries Ltd,DOMS,NSE:DOMS,2.4,2485,45,3115,,2024-12-17,294,,2580.44425,2614.30587,HOT Demand Zone,Demand Zone,,,
133,Dic India Limited,DICIND,NSE:DICIND,-1.51,552.8,15,839.9,,2024-10-21,351,,636.9805,646.98,,,Blast Setup,,
576,Zen Technologies Limited,ZENTEC,NSE:ZENTEC,-0.29,1464.7,27065,2627,,2024-12-24,287,,1694.2185,1717.786739,,,,,
577,Zen Technologies Limited,ZENTEC,NSE:ZENTEC,-0.29,1464.7,27065,2627,,2024-12-24,287,,1694.2185,1717.786739,,,,,
348,Stove Kraft Ltd,STOVEKRAFT,NSE:STOVEKRAFT,0.01,679,20,975.4,,2025-01-20,260,,689.63075,702.4284783,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
323,Thermax Limited,THERMAX,NSE:THERMAX,-0.35,3168,262,5719,,2024-10-28,344,,3522.9105,3690.234783,,,Blast Setup,,
218,Zensar Technologies Limited,ZENSARTECH,NSE:ZENSARTECH,-0.1,761.5,1298,984.95,,2025-02-06,243,,784.78975,779.6736957,HOT Demand Zone,Demand Zone,,Possible Double Bottom Retest!,
379,Ashoka Buildcon Limited,ASHOKA,NSE:ASHOKA,0.33,186.27,14769,319,,2024-12-31,280,,212.09735,216.957,,,,Possible Double Bottom Retest!,
588,Pakka Ltd,PAKKA,NSE:PAKKA,0.08,155,125,363.55,,2024-12-17,294,,203.27335,216.634,,,,Possible Double Bottom Retest!,
30,TCPL Packaging Ltd,TCPLPACK,NSE:TCPLPACK,-0.3,3384,0,4900,,2025-03-26,195,,3664.604,3600.409783,HOT Demand Zone,,,,
530,General Insurance Corporation of India,GICRE,NSE:GICRE,1.38,387.25,417734,525.5,,2024-12-20,291,,400.5695,398.7758696,HOT Demand Zone,Demand Zone,Blast Setup,,🔥 Volume Breakout!
531,General Insurance Corporation of India,GICRE,NSE:GICRE,1.38,387.25,417734,525.5,,2024-12-20,291,,400.5695,398.7758696,HOT Demand Zone,Demand Zone,Blast Setup,,🔥 Volume Breakout!
164,Siemens Limited,SIEMENS,NSE:SIEMENS,-0.21,3257.6,10398,4772.24,,2024-10-16,356,,3061.49685,3154.906435,HOT Demand Zone,Demand Zone,Blast Setup,,
181,Orbit Exports Limited,ORBTEXP,NSE:ORBTEXP,11.94,212.5,21835,306.29,,2024-12-17,294,,189.013,189.3329565,,,,,🔥 Volume Breakout!
569,Suraj Estate Developers Ltd,SURAJEST,NSE:SURAJEST,0.41,282.7,2706,828,,2024-10-18,354,,360.01025,397.8054348,,,,,
109,Heubach Colorants India Ltd,HEUBACHIND,NSE:HEUBACHIND,1.14,533.8,10,733.9,,2024-10-11,361,,577.79925,573.5,,,,,
240,Suyog Telematics Ltd,SUYOG,NSE:SUYOG,-1.82,820,0,1968.2,,2024-12-18,293,,1050.41675,1143.90587,,,Blast Setup,,
114,Alembic Pharmaceuticals Limited,APLLTD,NSE:APLLTD,0.75,914.65,3104,1303.9,,2024-10-09,363,,942.49475,960.0273913,HOT Demand Zone,Demand Zone,,,
92,Thyrocare Technologies Limited,THYROCARE,NSE:THYROCARE,3.75,1254.9,5151,1435,,2025-08-13,55,,981.12775,981.5356522,,,Blast Setup,,
